Division, Department, Course Number, Course Title
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,299,Independent Study 
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,357,Methods of Sociological Inquiry 
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,360,Statistics for Sociologists I
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,365,Computing in Sociological Research
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,375,Special Topics 
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,399,Coordinative Internship/Cooperative Education 
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,578,Poverty and Place
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,623,Gender/ Society/ and Politics 
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,630,Sociology of Developing Societies/Third World 
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,645,Modern American Communities 
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,655,Microfoundations of Economic Sociology 
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,682,Senior Honors Thesis
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,691,Senior Thesis
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,693,Practicum in Analysis and Research
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,699,Special Problems
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,875,Special Topics 
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,923,Seminar-Social Stratification 
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,925,Seminar: Socio-Economic Change in Underdeveloped Areas 
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,982,Interdepartmental Seminar in the Latin-American Area
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,987,Research: Race and Ethnic Studies
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,990,Research
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,993,Research: Sociology of Economic Change Trainees
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,995,Research: Methodology Trainees Method trainee or cons inst 
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,997,Research: Demography and Ecology Trainees
College of Ag & Life Sci,COMMUNITY & ENVIRONMENTAL SOC,999,Reading and Research
College of Ag & Life Sci,DAIRY SCIENCE,299,Independent Study
College of Ag & Life Sci,DAIRY SCIENCE,311,Comparative Animal Nutrition Bmol
College of Ag & Life Sci,DAIRY SCIENCE,313,Animal Feeds and Diet Formulation
College of Ag & Life Sci,DAIRY SCIENCE,361,Introduction to Animal and Veterinary Genetics 
College of Ag & Life Sci,DAIRY SCIENCE,362,Veterinary Genetics Dy Sci/
College of Ag & Life Sci,DAIRY SCIENCE,363,Principles of Animal Breeding Dy Sci/
College of Ag & Life Sci,DAIRY SCIENCE,375,Special Topics 
College of Ag & Life Sci,DAIRY SCIENCE,399,Coordinative Internship/Cooperative Education 
College of Ag & Life Sci,DAIRY SCIENCE,535,Dairy Farm Management Practicum 
College of Ag & Life Sci,DAIRY SCIENCE,682,Senior Honors Thesis 
College of Ag & Life Sci,DAIRY SCIENCE,699,Special Problems 
College of Ag & Life Sci,DAIRY SCIENCE,799,Practicum in Dairy Science Teaching 
College of Ag & Life Sci,DAIRY SCIENCE,875,Special Topics 
College of Ag & Life Sci,DAIRY SCIENCE,931,Seminar in Animal Nutrition 
College of Ag & Life Sci,DAIRY SCIENCE,951,Seminar in Animal Breeding 
College of Ag & Life Sci,DAIRY SCIENCE,990,Research 
College of Ag & Life Sci,DAIRY SCIENCE,201,Insects and Human Culture-a Survey Course in Entomology 
College of Ag & Life Sci,DAIRY SCIENCE,299,Independent Study 
College of Ag & Life Sci,DAIRY SCIENCE,302,Introduction to Entomology 
College of Ag & Life Sci,DAIRY SCIENCE,351,Principles of Economic Entomology 
College of Ag & Life Sci,DAIRY SCIENCE,375,Special Topics 
College of Ag & Life Sci,DAIRY SCIENCE,399,Coordinative Internship/Cooperative Education 
College of Ag & Life Sci,DAIRY SCIENCE,505,Plant-Microbe Interactions: Molecular and Ecological Aspects 
College of Ag & Life Sci,DAIRY SCIENCE,601,Seminar in Methods of Scientific Oral Presentations 
College of Ag & Life Sci,DAIRY SCIENCE,606,Colloquium in Environmental Toxicology 
College of Ag & Life Sci,DAIRY SCIENCE,681,Senior Honors Thesis
College of Ag & Life Sci,DAIRY SCIENCE,682,Senior Honors Thesis 
College of Ag & Life Sci,DAIRY SCIENCE,691,Senior Thesis 
College of Ag & Life Sci,DAIRY SCIENCE,699,Special Problems 
College of Ag & Life Sci,DAIRY SCIENCE,701,Advanced Taxonomy 
College of Ag & Life Sci,DAIRY SCIENCE,799,Practicum in Entomology Teaching 
College of Ag & Life Sci,DAIRY SCIENCE,801,Colloquium 
College of Ag & Life Sci,DAIRY SCIENCE,875,Special Topics 
College of Ag & Life Sci,DAIRY SCIENCE,950,Interdisciplinary Seminar in Animal Behavior 
College of Ag & Life Sci,DAIRY SCIENCE,990,Graduate Research and Thesis 
College of Ag & Life Sci,FOOD SCIENCE,201,Discovering Food Science 
College of Ag & Life Sci,FOOD SCIENCE,299,Independent Study 
College of Ag & Life Sci,FOOD SCIENCE,301,Introduction to the Science and Technology of Food 
College of Ag & Life Sci,FOOD SCIENCE,305,Introduction to Meat Science and Technology 
College of Ag & Life Sci,FOOD SCIENCE,321,Food Laws and Regulations 
College of Ag & Life Sci,FOOD SCIENCE,375,Special Topics 
College of Ag & Life Sci,FOOD SCIENCE,399,Coordinative Internship/Cooperative Education 
College of Ag & Life Sci,FOOD SCIENCE,412,Food Analysis 
College of Ag & Life Sci,FOOD SCIENCE,441,Rheology of Foods and Biomaterials 
College of Ag & Life Sci,FOOD SCIENCE,511,Chemistry and Technology of Dairy Products 
College of Ag & Life Sci,FOOD SCIENCE,514,Integrated Food Functionality 
College of Ag & Life Sci,FOOD SCIENCE,537,Organization and Management of Food and Nutrition Services 
College of Ag & Life Sci,FOOD SCIENCE,603,Senior Seminar 
College of Ag & Life Sci,FOOD SCIENCE,611,Chemistry and Technology of Dairy Products 
College of Ag & Life Sci,FOOD SCIENCE,682,Senior Honors Thesis 
College of Ag & Life Sci,FOOD SCIENCE,699,Special Problems 
College of Ag & Life Sci,FOOD SCIENCE,799,Practicum in Food Science Teaching 
College of Ag & Life Sci,FOOD SCIENCE,900,Seminar Advanced 
College of Ag & Life Sci,FOOD SCIENCE,990,Research 
College of Ag & Life Sci,FOOD SCIENCE,110,Living with Wildlife - Animals/ Habitats/ and Human Interactions 
College of Ag & Life Sci,FOOD SCIENCE,248,Environment/ Natural Resources/ and Society
College of Ag & Life Sci,FOOD SCIENCE,299,Independent Study
College of Ag & Life Sci,FOOD SCIENCE,300,Forest Biometry 
College of Ag & Life Sci,FOOD SCIENCE,306,Terrestrial Vertebrates: Life History and Ecology 
College of Ag & Life Sci,FOOD SCIENCE,335,Human/Animal Relationships: Biological and Philosophical Issues 
College of Ag & Life Sci,FOOD SCIENCE,375,Special Topics 
College of Ag & Life Sci,FOOD SCIENCE,379,Principles of Wildlife Management
College of Ag & Life Sci,FOOD SCIENCE,399,Coordinative Internship/Cooperative Education
College of Ag & Life Sci,FOOD SCIENCE,410,Principles of Silviculture 
College of Ag & Life Sci,FOOD SCIENCE,460,General Ecology 
College of Ag & Life Sci,FOOD SCIENCE,531,Natural Resource Economics
College of Ag & Life Sci,FOOD SCIENCE,572,Statistical Methods for Bioscience II
College of Ag & Life Sci,FOOD SCIENCE,599,Wildlife Research Capstone 
College of Ag & Life Sci,FOOD SCIENCE,606,Colloquium in Environmental Toxicology 
College of Ag & Life Sci,FOOD SCIENCE,652,Decision Methods for Natural Resource Managers 
College of Ag & Life Sci,FOOD SCIENCE,681,Senior Honors Thesis
College of Ag & Life Sci,FOOD SCIENCE,682,Senior Honors Thesis
College of Ag & Life Sci,FOOD SCIENCE,699,Special Problems
College of Ag & Life Sci,FOOD SCIENCE,799,Practicum in Forestry and Wildlife EcologyTeaching
College of Ag & Life Sci,FOOD SCIENCE,875,Special Topics 
College of Ag & Life Sci,FOOD SCIENCE,879,Advanced Landscape Ecology 
College of Ag & Life Sci,FOOD SCIENCE,955,Practical Research Design and Methods of Empirical Inquiry 
College of Ag & Life Sci,FOOD SCIENCE,961,Wildlife Seminar 
College of Ag & Life Sci,FOOD SCIENCE,990,Research and Thesis 
College of Ag & Life Sci,GENETICS,289,Honors Independent Study Enrolled in the CALS Honors Prgm & Soph or
College of Ag & Life Sci,GENETICS,375,Special Topics 
College of Ag & Life Sci,GENETICS,399,Coordinative Internship/Cooperative Education
College of Ag & Life Sci,GENETICS,466,General Genetics Algebra/ 1
College of Ag & Life Sci,GENETICS,471,Advanced Laboratory Procedures
College of Ag & Life Sci,GENETICS,545,Genetics Laboratory
College of Ag & Life Sci,GENETICS,562,Human Cytogenetics
College of Ag & Life Sci,GENETICS,564,Genomics and Proteomics
College of Ag & Life Sci,GENETICS,566,Advanced Genetics
College of Ag & Life Sci,GENETICS,568,The Central Nervous System 
College of Ag & Life Sci,GENETICS,569,The Breast
College of Ag & Life Sci,GENETICS,576,Effusions 
College of Ag & Life Sci,GENETICS,577,Applied Cytology I 
College of Ag & Life Sci,GENETICS,660,Evolutionary Genomics 
College of Ag & Life Sci,GENETICS,670,Seminar in Clinical Cytogenetics 
College of Ag & Life Sci,GENETICS,672,Seminar in Laboratory Operations and Quality Control 
College of Ag & Life Sci,GENETICS,677,Advanced Topics in Genetics 
College of Ag & Life Sci,GENETICS,681,Senior Honors Thesis
College of Ag & Life Sci,GENETICS,682,Senior Honors Thesis 
College of Ag & Life Sci,GENETICS,699,Special Problems 
College of Ag & Life Sci,GENETICS,708,Methods and Logic in Genetic Analysis 
College of Ag & Life Sci,GENETICS,915,Computation and Informatics in Biology and Medicine 
College of Ag & Life Sci,GENETICS,951,Seminar in Animal Breeding 
College of Ag & Life Sci,GENETICS,957,Seminar-Plant Breeding 
College of Ag & Life Sci,GENETICS,990,Research 
College of Ag & Life Sci,GENETICS,993,Seminar in Genetics 
College of Ag & Life Sci,HORTICULTURE,299,Independent Study
College of Ag & Life Sci,HORTICULTURE,334,Greenhouse Production of Ornamental Plants
College of Ag & Life Sci,HORTICULTURE,338,Plant Breeding and Biotechnology
College of Ag & Life Sci,HORTICULTURE,372,Colloquium in Organic Agriculture
College of Ag & Life Sci,HORTICULTURE,375,Special Topics 
College of Ag & Life Sci,HORTICULTURE,399,Coordinative Internship/Cooperative Education
College of Ag & Life Sci,HORTICULTURE,501,Principles of Plant Breeding 
College of Ag & Life Sci,HORTICULTURE,555,Plant Functional Genomics and Bioinformatics 
College of Ag & Life Sci,HORTICULTURE,572,Statistical Methods for Bioscience II
College of Ag & Life Sci,HORTICULTURE,699,Special Problems
College of Ag & Life Sci,HORTICULTURE,799,Practicum in Horticulture Teaching
College of Ag & Life Sci,HORTICULTURE,875,Special Topics 
College of Ag & Life Sci,HORTICULTURE,910,Seminar 
College of Ag & Life Sci,HORTICULTURE,957,Seminar-Plant Breeding 
College of Ag & Life Sci,HORTICULTURE,990,Research
College of Ag & Life Sci,HORTICULTURE,165,Introduction to International Issues in Agricultural & Life Sciences 
College of Ag & Life Sci,HORTICULTURE,175,WISE Seminar 
College of Ag & Life Sci,HORTICULTURE,250,Undergraduate Research Experience
College of Ag & Life Sci,HORTICULTURE,350,World Hunger and Malnutrition 
College of Ag & Life Sci,HORTICULTURE,375,Special Topics 
College of Ag & Life Sci,HORTICULTURE,421,Global Health Field Experience 
College of Ag & Life Sci,HORTICULTURE,262,Landscape Inventory and Evaluation Methods
College of Ag & Life Sci,HORTICULTURE,264,Dimensions of Material Culture 
College of Ag & Life Sci,HORTICULTURE,299,Independent Studies
College of Ag & Life Sci,HORTICULTURE,312,Graphics for Designers Concurrent registration in a design course 
College of Ag & Life Sci,HORTICULTURE,351,Housing and Urban Design
College of Ag & Life Sci,HORTICULTURE,353,Landscape Architectural Technology I 
College of Ag & Life Sci,HORTICULTURE,356,Sustainable Residential Construction 
College of Ag & Life Sci,HORTICULTURE,361,Wetlands Ecology Upper class st; basic college- level biology or equiv 
College of Ag & Life Sci,HORTICULTURE,375,Special Topics 
College of Ag & Life Sci,HORTICULTURE,399,Coordinative Internship/Cooperative Education
College of Ag & Life Sci,HORTICULTURE,451,
College of Ag & Life Sci,HORTICULTURE,463,Evolution of American Planning 
College of Ag & Life Sci,HORTICULTURE,551,Senior Project in Landscape Architecture
College of Ag & Life Sci,HORTICULTURE,556,Remote Sensing Digital Image Processing 
College of Ag & Life Sci,HORTICULTURE,651,Plant Community Restoration and Management Workshop 
College of Ag & Life Sci,HORTICULTURE,677,Cultural Resource Preservation and Landscape History 
College of Ag & Life Sci,HORTICULTURE,695,Applications of Geographic Information Systems in Natural Resources
College of Ag & Life Sci,HORTICULTURE,699,Special Problems-Landscape Architecture 
College of Ag & Life Sci,HORTICULTURE,740,Research in Landscape Architecture 
College of Ag & Life Sci,HORTICULTURE,990,Research 
College of Ag & Life Sci,HORTICULTURE,999,Independent Studies 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,100,Introduction to Communication: Inquiry and Exposition 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,212,Introduction to Scientific Communication 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,251,Science/ Media and Society 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,299,Independent Study 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,332,Print and Electronic Media Design 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,360,Information Radio 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,399,Coordinative Internship/Cooperative Education 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,432,Social Media for the Life Sciences 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,435,Theory and Practice of Integrated Marketing Communication 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,444,Native American Environmental Issues and the Media 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,450,Documentary Photography for the Sciences 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,515,Public Information Campaigns and Programs 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,532,Web Design for the Sciences 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,616,Mass Media and Youth 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,617,Health Communication in the Information Age 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,640,Case Studies in the Communication of Science and Technology 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,699,Special Problems 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,700,Colloquium in Life Sciences Communication 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,806,Conceptualization and Design of Mass Communication Research 
College of Ag & Life Sci,LIFE SCIENCES COMMUNICATION,875,Special Topics
